"Дата","Цена","Откр","Макс","Мин","Объём","Изм %"
"Апр '20","1271,17","1161,95","1289,48","1075,54","1,69M","9,40%"
"Март '20","1161,95","1339,25","1408,19","1009,16","3,25M","-13,24%"
"Февр '20","1339,25","1461,65","1530,74","1268,21","41,57M","-6,53%"
"Янв '20","1432,78","1348,41","1500,58","1346,49","33,70M","6,97%"
"Дек '19","1339,39","1302,56","1367,07","1277,05","28,28M","2,71%"
"Нояб '19","1304,09","1265,80","1333,92","1259,71","26,36M","3,60%"
"Окт '19","1258,80","1222,49","1299,24","1163,14","31,13M","3,08%"
"Сент '19","1221,14","1181,85","1248,02","1163,71","26,27M","2,57%"
"Авг '19","1190,53","1217,63","1236,30","1142,75","29,35M","-2,27%"
"Июль '19","1218,20","1101,04","1268,39","1095,33","35,76M","12,50%"
"Июнь '19","1082,80","1066,93","1126,57","1027,03","35,62M","-2,14%"
"Май '19","1106,50","1197,50","1199,25","1103,35","37,14M","-7,71%"
"Апр '19","1198,96","1187,54","1296,97","1183,00","32,37M","1,88%"
"Март '19","1176,89","1131,00","1236,44","1130,20","33,19M","4,47%"
"Февр '19","1126,55","1122,29","1154,00","1093,59","32,61M","0,06%"
"Янв '19","1125,89","1027,20","1127,67","1022,37","34,86M","7,74%"
"Дек '18","1044,96","1132,16","1135,00","977,66","42,87M","-5,83%"
"Нояб '18","1109,65","1091,40","1109,93","1002,21","39,31M","1,75%"
"Окт '18","1090,58","1213,00","1224,52","1007,20","56,55M","-9,65%"
"Сент '18","1207,08","1222,52","1227,87","1151,50","35,93M","-2,01%"
"Авг '18","1231,80","1239,11","1271,96","1204,00","34,30M","0,37%"
"Июль '18","1227,22","1115,35","1291,44","1106,60","41,81M","8,68%"
"Июнь '18","1129,19","1112,87","1201,49","1106,07","40,18M","2,65%"
"Май '18","1100,00","1016,30","1118,15","1007,89","37,04M","7,99%"
"Апр '18","1018,58","1027,62","1097,51","994,25","49,25M","-1,79%"
"Март '18","1037,14","1109,54","1178,16","984,00","52,12M","-6,05%"
"Февр '18","1103,92","1175,99","1187,45","997,00","51,34M","-6,62%"
"Янв '18","1182,22","1053,02","1198,00","1053,02","32,89M","12,23%"
"Дек '17","1053,40","1030,41","1086,49","1002,32","29,94M","1,66%"
"Нояб '17","1036,17","1036,32","1080,00","1028,66","28,69M","0,30%"
"Окт '17","1033,04","975,65","1063,62","961,95","36,85M","6,09%"
"Сент '17","973,72","957,47","975,81","924,51","29,63M","1,93%"
"Авг '17","955,24","947,81","957,20","918,60","32,78M","1,03%"
"Июль '17","945,50","933,22","1006,19","915,31","41,92M","1,70%"
"Июнь '17","929,68","990,96","1008,61","929,60","44,09M","-5,82%"
"Май '17","987,09","924,15","999,60","920,80","35,37M","6,77%"
"Апр '17","924,52","848,75","935,90","834,60","28,72M","9,05%"
"Март '17","847,80","851,38","874,42","824,30","34,55M","0,34%"
"Февр '17","844,93","824,00","853,79","812,05","26,49M","3,02%"
"Янв '17","820,19","800,62","867,00","796,89","36,84M","3,50%"
"Дек '16","792,45","778,55","824,30","753,36","34,36M","2,14%"
"Нояб '16","775,88","810,87","816,04","743,59","48,35M","-4,20%"
"Окт '16","809,90","802,55","839,00","796,23","35,39M","0,73%"
"Сент '16","804,06","791,98","819,06","783,50","31,58M","1,80%"
"Авг '16","789,85","786,67","813,88","785,04","28,86M","-0,19%"
"Июль '16","791,34","705,10","803,94","699,00","32,67M","12,48%"
"Июнь '16","703,53","748,47","751,37","672,66","41,98M","-6,05%"
"Май '16","748,85","711,92","753,48","704,05","34,11M","5,79%"
"Апр '16","707,88","757,16","790,95","703,20","46,66M","-7,21%"
"Март '16","762,90","721,30","777,31","704,00","42,67M","6,37%"
"Февр '16","717,22","771,26","810,35","682,01","67,65M","-5,80%"
"Янв '16","761,35","762,20","769,20","687,78","52,00M","-2,14%"
"Дек '15","778,01","766,94","798,69","736,26","43,65M","1,99%"
"Нояб '15","762,85","737,88","782,90","731,45","37,58M","3,45%"
"Окт '15","737,39","637,94","752,50","631,12","50,29M","15,51%"
"Сент '15","638,37","633,81","681,99","617,84","43,58M","-1,46%"
"Авг '15","647,82","657,66","704,00","593,09","55,35M","-1,47%"
"Июль '15","657,50","543,66","713,33","539,76","68,54M","21,75%"
"Июнь '15","540,04","548,73","565,61","538,85","35,22M","-0,97%"
"Май '15","545,32","550,51","558,24","532,24","32,42M","-0,63%"
"Апр '15","548,77","554,83","584,70","529,00","43,75M","-1,07%"
